ORA-00000    성공적인 정상 종료입니다.
ORA-00307    요구된 인스턴스 번호가 범위를 벗어납니다(최대치는 %s)
ORA-00308    아카이브된 로그 %s를 열 수 없습니다.
ORA-00309    로그가 잘못된 데이타베이스에 속해 있습니다.
ORA-00310    아카이브된 로그는 시퀀스 %s를 포함하고 있습니다 시퀀스 %s가 필요합니다.
ORA-00311    아카이브 로그로부터 헤더 정보를 읽을 수 없습니다.
ORA-00312    온라인 로그 %s 쓰레드 %s: %s
ORA-00313    로그 그룹 %s (쓰레드 %s의)의 멤버를 여는데 실패했습니다.
ORA-00314    로그 %s(쓰레드 %s의, 시퀀스번호가 %s일)는 %s와 일치하지 않습니다.
ORA-00315    로그 %s (쓰레드 %s의) 헤더의 쓰레드 번호 %s가 틀립니다.
ORA-00316    로그 %s (쓰레드 %s의) 헤더내의 유형 %s는 로그화일이 아닙니다.
ORA-00317    헤더에 있는 화일형 %s가 로그화일이 아닙니다.
ORA-00318    로그 %s (쓰레드 %s의, 화일 크기가 %s인)가 %s와 맞지 않습니다.
ORA-00319    로그 %s(쓰레드 %s의)가 틀린 로그 재설정 상태를 가지고 있습니다.
ORA-00320    로그 %s(쓰레드 %s의)로부터 화일 헤더를 읽을 수 없습니다.
ORA-00321    로그 %s(쓰레드 %s의)에서 로그화일 헤더를 수정할 수 없습니다.
ORA-00322    로그 %s(쓰레드 %s의)는 현시점의 것이 아닙니다.
ORA-00323    쓰레드 %s의 현 로그는 사용불가하며, 나머지 전부도 아카이브하여야 합니다.
ORA-00324    로그 화일 %s의 변환명 %s가 너무 깁니다, 문자수 %s가 %s를 초과했습니다.
ORA-00325    쓰레드 %s으로 아카이브된 로그가 헤더내에 틀린 쓰레드 번호 %s를 가지고 있습니다.
ORA-00326    변환 %s에서 시작된 아카이브 로그, 이전의 변환 %s를 필요로 합니다.
ORA-00327    로그 %s(쓰레드 %s의), 물리적인 크기 %s가 필요한 %s보다 작습니다.
ORA-00328    변환 %s에서 끝난 아카이브 로그, 이후의 변환 %s를 필요로 합니다.
ORA-00329    변환 %s에서 시작된 아카이브 로그, 변환 %s를 필요로 합니다.
ORA-00330    변환 %s에서 끝난 아카이브 로그, 변환 %s를 필요로 합니다.
ORA-00331    로그 버전 %s가 ORACLE 버전 %s와 호환성이 없습니다.
ORA-00332    아카이브된 로그가 너무 작음 - 완전하게 아카이브되지 않았습니다.
ORA-00333    재실행 로그 읽기 오류(블록 %s 카운트 %s)
ORA-00334    아카이브된 로그: %s
ORA-00335    온라인 로그 %s: 이 번호의 로그가 존재하지 않습니다.
ORA-00336    로그 화일의 크기 %s가 최소 블록 수 %s 보다 작습니다.
ORA-00337    로그 화일 %s가 존재하지 않고 크기가 지정되어 있지 않습니다.
ORA-00338    로그 %s(쓰레드 %s의)가 제어화일보다 최근의 것입니다.
ORA-00339    아카이브 로그가 REDO 로그를 포함하고 있지 않습니다.
ORA-00340    온라인 로그 %s(쓰레드 %s의) 처리시 IO 오류입니다.
ORA-00341    로그 %s(쓰레드 %s의)에 대한  헤더내에 로그 번호 %s가 틀립니다.
ORA-00342    아카이브된 로그가 마지막 RESETLOGS 전에 생성되었습니다.
ORA-00343    너무 많은 오류 발생, 로그 멤버가 클로즈됐습니다.
ORA-00344    온라인 로그 %s를 재생성할 수 없습니다.
ORA-00345    REDO 로그 쓰기(write) 오류, 블록 %s 카운트 %s
ORA-00346    로그 멤버가 STALE로 표시되었습니다.
ORA-00347    로그 %s(쓰레드 %s의)의 예상 블록크기 %s는 %s와 일치하지 않습니다.
ORA-00348    단일 프로세스 REDO 실패입니다 인스턴스를 중지해야 합니다.
ORA-00349    %s 의 블록 크기 확보 실패입니다.
ORA-00350    로그 %s(쓰레드 %s의)를 아카이브해야 합니다.
ORA-00351    지정된 시간으로의 복구가 불가능합니다.
ORA-00352    쓰레드 %s에 대한 모든 로그가 아카이브되어야 함 - 가용화할 수 없습니다.
ORA-00353    블록 %s 변경 %s 시간 %s 부근에서 로그가 깨졌습니다.
ORA-00354    REDO 로그의 블록헤더가 깨짐
ORA-00355    변환 번호가 잘못됨
ORA-00356    변환 설명내에 일치하지 않는 길이
ORA-00357    로그화일에 너무 많은 수의 멤버가 지정됨 (최대치는 %s)
ORA-00358    너무 많은 화일 멤버가 지정됨 (최대치는 %s)
ORA-00359    로그화일 그룹 %s가 존재하지 않습니다.
ORA-00360    로그화일 멤버가 아닙니다 %s
ORA-00361    마지막 로그 멤버 %s는 그룹 %s를 옮길수 없습니다.
ORA-00362    그룹 %s내에 정당한 로그화일을 형성하기 위해 멤버를 필요로 합니다.
ORA-00363    로그가 아카이브 버전이 아닙니다.
ORA-00364    새로운 로그 멤버에 헤더를 기록할 수 없습니다.
ORA-00365    지정한 로그가 다음 로그가 아닙니다.
ORA-00366    로그 %s, 쓰레드 %s의, 화일 헤더에 체크섬 오류가 있습니다.
ORA-00367    로그 화일 헤더에 체크섬 오류가 있습니다.
ORA-00368    리두 로그 블록에 체크섬 오류가 있습니다.
ORA-00369    쓰레드 %s의 현재 로그는 사용불가이며 다른 로그가 지워지고 있습니다.
ORA-00370    kcbchange 작업수행시 데드록의 가능성이 있습니다.
ORA-00371    빈 버퍼의 사용이 불가합니다.
ORA-00372    화일 %s는 지금 수정될 수 없습니다.
ORA-00373    온라인 로그 버전 %s가 ORACLE 버전 %s와 호환되지 않습니다.
ORA-00374    지정된 파라미터 db_block_size = %s 가 부적절함 - 가능한 범위[%s..%s]
ORA-00375    디폴트 db_block_size의 값을 얻을수 없습니다.
ORA-00376    현재 화일 %s를 읽을 수 없습니다.
ORA-00390    로그 %s(쓰레드 %s의)는 지워질것이므로 현재 로그가 될 수 없습니다.
ORA-00391    전체 쓰레드는 동시에 새로운 로그 포맷으로 전환해야 합니다.
ORA-00392    로그 %s(쓰레드 %s의)는 지워질것이므로 작업이 허용되지 않습니다.
ORA-00393    오프라인 데이타화일 복구에 로그 %s(쓰레드 %s의)가 필요합니다.
ORA-00400    RELEASE 값 %s는 파라미터 %s에 부적절합니다.
ORA-00401    이번 RELEASE에서 지원되지 않은 파라미터 %s에 대한 값입니다.
ORA-00402    %s RELEASE에 변경된 데이타베이스는 %s RELEASE에 사용될 수 없습니다.
ORA-00403    %s (%s) 는 다른 인스턴스(%s)와 같지 않습니다.
ORA-00404    변환 데이타 화일이 없습니다 %s
ORA-00405    호환 가능한 유형 %s
ORA-00406    COMPATIBLE 파라미터는 %s 이상이어야 합니다.
ORA-00407    릴리즈 %s.%s 에서 %s.%s로 향상이 허용되지 않습니다.
ORA-00408    파라미터 %s는 TRUE로 설정되었습니다.
ORA-00436    ORACLE이 라이센스되어 있지 않습니다 ORACLE사에 연락해 주십시오.
ORA-00437    ORACLE의 기능이 라이센스되어 있지 않습니다. ORACLE사에 연락해 주십시오
ORA-00443    백그라운 프로세스 %s가 시작되지 않았습니다.
ORA-00444    백그라운드 프로세스 %s 기동중 장애가 발생했습니다.
ORA-00445    백그라운드 프로세스 %s가 %s초 후 기동되지 않았습니다.
ORA-00446    백그라운드 프로세스가 부적절하게 기동되었습니다.
ORA-00447    백그라운드 프로세스에 치명적인 오류가 발생했습니다.
ORA-00448    백그라운드 프로세스가 정상 종료했습니다.
ORA-00449    백그라운드 프로세스 %s 가 오류 %s 와 함께 종료되었습니다.
ORA-00470    LGWR 프로세스가 오류로 종료되었습니다.
ORA-00471    DBWR 프로세스가 오류로 종료되었습니다.
ORA-00472    PMON 프로세스가 오류로 종료되었습니다.
ORA-00473    ARCH 프로세스가 오류로 종료되었습니다.
ORA-00474    SMON 프로세스가 오류로 종료되었습니다.
ORA-00475    TRWR 프로세스가 오류로 종료되었습니다.
ORA-00476    RECO 프로세스가 오류로 종료되었습니다.
ORA-00477    SNP* 프로세스가 오류로 종료되었습니다.
ORA-00480    LCK* 프로세스가 오류로 종료되었습니다.
ORA-00483    정지 처리중 프로세스가 오류로 종료되었습니다.
ORA-00568    인터럽트 처리기의 최대수를 초과했습니다.
ORA-00574    osndnt: $CANCEL 실패 (break)
ORA-00575    osndnt: $QIO 실패 (send out-of-band break)
ORA-00576    인-밴드 브레이크 프로토콜 오류
ORA-00577    아웃-밴드 브레이크 프로토콜 오류
ORA-00578    재설정 프로토콜 오류
ORA-00579    osndnt: 서버가 잘못된 연결요구를 받았습니다.
ORA-00580    프로토콜 버전이 일치하지 않습니다.
ORA-00581    osndnt: 문맥 영역을 할당할 수 없습니다.
ORA-00582    osndnt: 문맥 영역을 해제할 수 없습니다.
ORA-00583    osndnt: $TRNLOG 실패
ORA-00584    연결을 끊을 수 없습니다.
ORA-00585    잘못된 유형의 호스트명입니다.
ORA-00586    osndnt: LIB$ASN_WTH_MBX 실패
ORA-00587    원격 호스트에 연결할 수 없습니다.
ORA-00588    호스트로부터의 메시지가 너무 짧습니다.
ORA-00589    호스트로부터의 메시지가 잘못된 데이타 길이를 갖습니다.
ORA-00590    호스트로부터의 메시지가 잘못된 데이타 유형을 갖습니다.
ORA-00591    틀린 바이트 수가 기록되었습니다.
ORA-00592    osndnt: $QIO 실패 (mailbox queue)
ORA-00593    osndnt: $DASSGN 실패 (network device)
ORA-00594    osndnt: $DASSGN 실패 (mailbox)
ORA-00595    osndnt: $QIO 실패 (receive)
ORA-00596    osndnt: $QIO 실패 (send)
ORA-00597    osndnt: $QIO 실패 (mailbox requeue)
ORA-00598    osndnt: $QIO 실패 (mailbox read)
ORA-00600    내부 오류 코드, 인수 : [%s], [%s], [%s], [%s], [%s], [%s], [%s], [%s]
ORA-00601    크린업 잠금이 충돌했습니다.
ORA-00602    내부 프로그래밍 오류입니다 - BUG로 등록하세요
ORA-00603    ORACLE 서버 세션이 치명적인 오류로 종료되었습니다.
ORA-00604    순환 SQL 레벨 %s 에 오류가 발생했습니다.
ORA-00606    내부 오류코드
ORA-00701    데이타베이스의 기동에 필요한 개체를 변경할 수 없습니다.
ORA-00702    부트스트랩 버전 %s가 버전 %s와 일치하지 않습니다.
ORA-00703    행 캐쉬 인스턴스 잠금의 최대 수를 초과했습니다.
ORA-00704    부트스트랩 프로세스 실패
ORA-00816    오류 메세지 해석 오류입니다.
ORA-00900    SQL 문이 부적합합니다.
ORA-00901    CREATE 명령어가 부적합합니다.
ORA-00902    데이타유형이 부적합합니다.
ORA-00903    테이블명이 부적합합니다.
ORA-00904    열명이 부적합합니다.
ORA-00905    키워드가 없습니다.
ORA-00906    좌괄호가 없습니다.
ORA-00907    우괄호가 없습니다.
ORA-00908    NULL 키워드가 없습니다.
ORA-00909    인수의 개수가 부적합합니다.
ORA-00910    데이타형에 지정된 길이가 너무 깁니다.
ORA-00911    문자가 부적합합니다.
ORA-00913    값의 수가 너무 많습니다.
ORA-00914    ADD 키워드가 없습니다.
ORA-00915    네트워크을 통한 DICTIONARY TABLE 액세스는 허가되지 않습니다.
ORA-00917    코머가 누락되었습니다.
ORA-00918    열의 정의가 애매합니다.
ORA-00919    함수가 부적합합니다.
ORA-00920    관계 연산자가 부적합합니다.
ORA-00921    SQL 명령어가 불완전합니다.
ORA-00922    옵션이 부적합하거나 없습니다.
ORA-00923    FROM 키워드가 있어야할 곳에 없습니다.
ORA-00924    BY 키워드가 없습니다.
ORA-00925    INTO 키워드가 없습니다.
ORA-00926    VALUES 키워드가 없습니다.
ORA-00927    등호가 없습니다.
ORA-00928    SELECT 키워드가 없습니다.
ORA-00929    마침표(.)가 없습니다.
ORA-00930    
ORA-00931    식별자가 없습니다.
ORA-00932    데이타 유형이 일치하지 않습니다.
ORA-00933    SQL 명령어가 올바르게 종료되지 않았습니다.
ORA-00934    그룹 함수는 허가되지 않습니다.
ORA-00935    그룹 함수의 내포 레벨이 너무 깊습니다.
ORA-00936    식이 없습니다.
ORA-00937    단일 그룹의 그룹 함수가 아닙니다.
ORA-00938    함수의 인수가 충분하지 않습니다.
ORA-00939    함수의 인수가 너무 많습니다.
ORA-00940    ALTER 명령어가 부적합합니다.
ORA-00941    클러스터 명이 없습니다.
ORA-00942     테이블 또는 뷰가 존재하지 않습니다.
ORA-00943    클러스터가 존재하지 않습니다.
ORA-00944    클러스터 열의 수가 충분하지 않습니다.
ORA-00945    지정한 클러스터 열이 존재하지 않습니다.
ORA-00946    TO 키워드가 없습니다.
ORA-00947    값의 수가 충분하지 않습니다.
ORA-00948    ALTER CLUSTER 문은 제공되어 있지 않습니다.
ORA-00949    원격 데이타베이스는 참조할 수 없습니다.
ORA-00950    DROP 옵션이 부적합합니다.
ORA-00951    클러스터가 비어 있지 않습니다.
ORA-00952    GROUP 키워드가 없습니다.
ORA-00953    색인명이 부적합합니다.
ORA-00954    IDENTIFIED 키워드가 없습니다.
ORA-00955    이미 사용된 개체명입니다.
ORA-00956    감사 옵션이 부적합하거나 없습니다.
ORA-00957    열명이 중복되었습니다.
ORA-00958    CHECK 키워드가 없습니다.
ORA-00959    테이블 영역 %s 가 존재하지 않습니다.
ORA-00960    선택 리스트에 애매한 열명이 있습니다.
ORA-00962    너무 많은 group-by / order-by 식이 있습니다.
ORA-00964    FROM 리스트에 테이블명이 없습니다.
ORA-00965    
ORA-00966    TABLE 키워드가 없습니다.
ORA-00967    WHERE 키워드가 없습니다.
ORA-00968    INDEX 키워드가 없습니다.
ORA-00969    ON 키워드가 없습니다.
ORA-00970    WITH 키워드가 없습니다.
ORA-00971    SET 키워드가 없습니다.
ORA-00972    식별자의 길이가 너무 깁니다.
ORA-00973    행수의 추정이 잘못되었습니다.
ORA-00974    PCTFREE 값(백분율)이 부적합합니다.
ORA-00975    날짜와 날짜의 가산은 할 수 없습니다.
ORA-00976    LEVEL, PRIOR, ROWNUM 은 사용 할 수 없습니다.
ORA-00977    감사 옵션이 중복되었습니다.
ORA-00978    GROUP BY 구 없이 그룹 함수가 내포되었습니다.
ORA-00979    GROUP BY 의 식이 없습니다.
ORA-00980    동의어의 해석이 불가능합니다.
ORA-00981    테이블 및 시스템 감사 옵션은 함께 지정될 수 없습니다.
ORA-00982    
ORA-00984    열을 사용할 수 없습니다.
ORA-00985    프로그램명이 부적합합니다.
ORA-00986    그룹명이 부적합하거나 없습니다.
ORA-00987    사용자명이 부적합하거나 없습니다.
ORA-00988    암호가 틀립니다.
ORA-00989    사용자명에 대한 암호가 너무 많습니다.
ORA-00990    권한이 부적합합니다.
ORA-00991    MAC 권한만이 프로시저에게 권한부여해 줍니다.
ORA-00992    REVOKE 명령어의 형식이 부적합합니다.
ORA-00993    GRANT 키워드가 없습니다.
ORA-00994    OPTION 키워드가 없습니다.
ORA-00995    동의어의 식별자가 부적합합니다.
ORA-00996    연접 연산자는 | 이 아니고 || 입니다.
ORA-00997    LONG 데이타 유형은 사용할 수 없습니다.
ORA-00998    이 식은 열의 별명과 함께 지정해야 합니다.
ORA-00999    뷰명이 부적합합니다.
ORA-01000    최대 열기 커서 수를 초과했습니다.
ORA-01001    커서가 부적합합니다.
ORA-01002    인출 시퀀스가 틀립니다.
ORA-01003    해석된 문이 없습니다.
ORA-01004    디폴트 사용자명 사용 불가. 로그온이 허락되지 않습니다.
ORA-01005    널 암호가 입력되었습니다 로그온이 허락되지 않습니다.
ORA-01006    바인드 변수가 없습니다.
ORA-01007    변수가 선택 리스트에 없습니다.
ORA-01008    모든 한계변수가 아닙니다.
ORA-01009    필수 파라미터가 없습니다.
ORA-01010    OCI 조작이 부적합합니다.
ORA-01011    v6 서버와 교신할때 v7 호환성 모드를 사용할 수 없습니다.
ORA-01012    로그온되어 있지 않습니다.
ORA-01013    현 조작의 취소가 요구되었습니다.
ORA-01014    ORACLE의 정지 처리가 진행중입니다.
ORA-01015    로그온이 순환적으로 호출되었습니다.
ORA-01016    이함수는 인출 이후에만 호출될 수 있습니다.
ORA-01017    사용자명/암호가 부적합, 로그온할 수 없습니다.
ORA-01018    LONG 데이타 유형의 열이 아닙니다.
ORA-01019    사용자쪽의 기억영역을 할당할 수 없습니다.
ORA-01020    문맥의 상태가 불명확합니다.
ORA-01021    지정한 문맥 크기가 부적합합니다.
ORA-01022    이 구성에 데이타베이스 작업이 지원되지 않습니다.
ORA-01023    커서 문맥가 없습니다부당한 커서번호)
ORA-01024    OCI 콜의 데이타 유형은 부적합합니다.
ORA-01025    UPI 파라미터가 부적합합니다.
ORA-01026    바인드 목록에 크기가 2000이상인 다중 버퍼
ORA-01027    데이타 정의에서는 바인드 변수를 사용할 수 없습니다.
